,code,event,finished,id,started,team_h,team_h_score,team_h_difficulty,team_a,team_a_score,team_a_difficulty,stats,season,h_team_name,strength_overall_home,strength_attack_home,strength_defence_home,a_team_name,strength_overall_away,strength_attack_away,strength_defence_away,result
0,2128288,1,True,2,True,8,0.0,3,1,3.0,2,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 4}, {'value': 1, 'element': 6}, {'value': 1, 'element': 494}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 3, 'element': 478}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 4}, {'value': 1, 'element': 11}], 'h': [{'value': 1, 'element': 175}, {'value': 1, 'element': 178}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 8}], 'h': [{'value': 2, 'element': 186}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 494}, {'value': 2, 'element': 478}, {'value': 1, 'element': 6}, {'value': 1, 'element': 8}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 37, 'element': 494}, {'value': 35, 'element': 478}, {'value': 29, 'element': 6}, {'value': 29, 'element': 8}, {'value': 28, 'element': 16}, {'value': 25, 'element': 17}, {'value': 23, 'element': 11}, {'value': 21, 'element': 15}, {'value': 19, 'element': 4}, {'value': 15, 'element': 526}, {'value': 11, 'element': 9}, {'value': 6, 'element': 501}, {'value': 3, 'element': 18}, {'value': 3, 'element': 22}], 'h': [{'value': 16, 'element': 176}, {'value': 14, 'element': 373}, {'value': 12, 'element': 178}, {'value': 12, 'element': 182}, {'value': 12, 'element': 525}, {'value': 11, 'element': 175}, {'value': 11, 'element': 186}, {'value': 10, 'element': 187}, {'value': 7, 'element': 180}, {'value': 4, 'element': 181}, {'value': 4, 'element': 191}, {'value': 3, 'element': 184}, {'value': 3, 'element': 188}, {'value': -2, 'element': 190}]}]",2020/21,Fulham,1090,1150,1040,Arsenal,1250,1150,1210,A
1,2128649,37,True,362,True,6,1.0,3,1,3.0,3,"[{'identifier': 'goals_scored', 'a': [{'value': 2, 'element': 18}, {'value': 1, 'element': 26}], 'h': [{'value': 1, 'element': 132}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 17}, {'value': 1, 'element': 645}], 'h': [{'value': 1, 'element': 137}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 526}], 'h': [{'value': 1, 'element': 132}, {'value': 1, 'element': 142}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 8}], 'h': []}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 18}], 'h': [{'value': 2, 'element': 137}, {'value': 1, 'element': 132}]}, {'identifier': 'bps', 'a': [{'value': 47, 'element': 18}, {'value': 22, 'element': 26}, {'value': 20, 'element': 8}, {'value': 20, 'element': 17}, {'value': 19, 'element': 13}, {'value': 17, 'element': 645}, {'value': 16, 'element': 567}, {'value': 14, 'element': 23}, {'value': 12, 'element': 16}, {'value': 12, 'element': 494}, {'value': 9, 'element': 526}, {'value': 3, 'element': 9}, {'value': 2, 'element': 24}, {'value': 1, 'element': 4}], 'h': [{'value': 28, 'element': 137}, {'value': 27, 'element': 132}, {'value': 14, 'element': 129}, {'value': 11, 'element': 125}, {'value': 11, 'element': 131}, {'value': 11, 'element': 133}, {'value': 10, 'element': 141}, {'value': 9, 'element': 128}, {'value': 9, 'element': 134}, {'value': 7, 'element': 142}, {'value': 7, 'element': 146}, {'value': 3, 'element': 144}, {'value': 2, 'element': 140}]}]",2020/21,Crystal Palace,1090,1030,1010,Arsenal,1250,1150,1210,A
2,2128310,3,True,23,True,11,3.0,3,1,1.0,3,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 6}], 'h': [{'value': 1, 'element': 251}, {'value': 1, 'element': 255}, {'value': 1, 'element': 468}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 254}, {'value': 1, 'element': 259}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 11}, {'value': 1, 'element': 501}], 'h': [{'value': 1, 'element': 251}, {'value': 1, 'element': 259}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 8}], 'h': [{'value': 2, 'element': 252}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 6}, {'value': 1, 'element': 8}], 'h': [{'value': 3, 'element': 259}, {'value': 2, 'element': 255}, {'value': 1, 'element': 251}]}, {'identifier': 'bps', 'a': [{'value': 22, 'element': 6}, {'value': 22, 'element': 8}, {'value': 17, 'element': 526}, {'value': 16, 'element': 17}, {'value': 14, 'element': 16}, {'value': 12, 'element': 11}, {'value': 11, 'element': 3}, {'value': 10, 'element': 15}, {'value': 8, 'element': 9}, {'value': 6, 'element': 478}, {'value': 6, 'element': 501}, {'value': 5, 'element': 4}, {'value': 2, 'element': 18}, {'value': 1, 'element': 22}], 'h': [{'value': 31, 'element': 259}, {'value': 29, 'element': 255}, {'value': 22, 'element': 251}, {'value': 19, 'element': 260}, {'value': 18, 'element': 253}, {'value': 18, 'element': 254}, {'value': 16, 'element': 252}, {'value': 15, 'element': 468}, {'value': 14, 'element': 250}, {'value': 12, 'element': 249}, {'value': 11, 'element': 243}, {'value': 11, 'element': 261}, {'value': 3, 'element': 241}, {'value': 3, 'element': 258}]}]",2020/21,Liverpool,1250,1190,1300,Arsenal,1250,1150,1210,H
3,2128575,29,True,288,True,19,3.0,3,1,3.0,4,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 6}], 'h': [{'value': 1, 'element': 301}, {'value': 1, 'element': 445}, {'value': 1, 'element': 449}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 6}, {'value': 1, 'element': 13}, {'value': 1, 'element': 18}], 'h': [{'value': 2, 'element': 437}, {'value': 1, 'element': 301}]}, {'identifier': 'own_goals', 'a': [], 'h': [{'value': 1, 'element': 449}, {'value': 1, 'element': 576}]}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 6}], 'h': [{'value': 1, 'element': 435}, {'value': 1, 'element': 437}, {'value': 1, 'element': 558}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 8}], 'h': [{'value': 5, 'element': 431}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 6}, {'value': 1, 'element': 13}], 'h': [{'value': 2, 'element': 301}, {'value': 1, 'element': 445}]}, {'identifier': 'bps', 'a': [{'value': 37, 'element': 6}, {'value': 24, 'element': 13}, {'value': 21, 'element': 645}, {'value': 17, 'element': 3}, {'value': 17, 'element': 17}, {'value': 17, 'element': 18}, {'value': 14, 'element': 9}, {'value': 13, 'element': 10}, {'value': 13, 'element': 24}, {'value': 12, 'element': 567}, {'value': 11, 'element': 8}, {'value': 8, 'element': 4}, {'value': 4, 'element': 23}, {'value': 3, 'element': 26}], 'h': [{'value': 35, 'element': 301}, {'value': 24, 'element': 445}, {'value': 20, 'element': 431}, {'value': 19, 'element': 437}, {'value': 18, 'element': 449}, {'value': 15, 'element': 448}, {'value': 14, 'element': 587}, {'value': 11, 'element': 558}, {'value': 8, 'element': 435}, {'value': 8, 'element': 451}, {'value': 8, 'element': 576}, {'value': 3, 'element': 427}, {'value': 1, 'element': 438}]}]",2020/21,West Ham,1230,1140,1260,Arsenal,1250,1150,1210,D
4,2128455,17,True,168,True,18,0.0,3,1,4.0,2,"[{'identifier': 'goals_scored', 'a': [{'value': 2, 'element': 6}, {'value': 1, 'element': 17}, {'value': 1, 'element': 24}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 2, 'element': 23}, {'value': 1, 'element': 16}, {'value': 1, 'element': 17}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 11}, {'value': 1, 'element': 501}], 'h': [{'value': 1, 'element': 544}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 8}], 'h': [{'value': 8, 'element': 417}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 17}, {'value': 2, 'element': 6}, {'value': 1, 'element': 16}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 62, 'element': 17}, {'value': 53, 'element': 6}, {'value': 39, 'element': 16}, {'value': 32, 'element': 23}, {'value': 29, 'element': 10}, {'value': 27, 'element': 8}, {'value': 23, 'element': 24}, {'value': 20, 'element': 501}, {'value': 14, 'element': 9}, {'value': 9, 'element': 478}, {'value': 8, 'element': 4}, {'value': 6, 'element': 15}, {'value': 2, 'element': 11}], 'h': [{'value': 26, 'element': 417}, {'value': 17, 'element': 413}, {'value': 17, 'element': 481}, {'value': 15, 'element': 358}, {'value': 14, 'element': 425}, {'value': 10, 'element': 422}, {'value': 10, 'element': 544}, {'value': 9, 'element': 411}, {'value': 8, 'element': 419}, {'value': 5, 'element': 412}, {'value': 4, 'element': 426}, {'value': 4, 'element': 530}, {'value': 3, 'element': 446}, {'value': -2, 'element': 415}]}]",2020/21,West Brom,1050,1040,1050,Arsenal,1250,1150,1210,A
5,2128393,11,True,106,True,17,2.0,3,1,0.0,4,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 388}, {'value': 1, 'element': 390}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 388}, {'value': 1, 'element': 390}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 6}, {'value': 1, 'element': 9}], 'h': [{'value': 1, 'element': 403}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 8}], 'h': [{'value': 2, 'element': 383}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 388}, {'value': 2, 'element': 390}, {'value': 1, 'element': 389}]}, {'identifier': 'bps', 'a': [{'value': 20, 'element': 494}, {'value': 15, 'element': 16}, {'value': 14, 'element': 17}, {'value': 12, 'element': 9}, {'value': 12, 'element': 24}, {'value': 11, 'element': 478}, {'value': 11, 'element': 501}, {'value': 10, 'element': 8}, {'value': 9, 'element': 567}, {'value': 8, 'element': 11}, {'value': 6, 'element': 4}, {'value': 5, 'element': 6}, {'value': 2, 'element': 22}], 'h': [{'value': 39, 'element': 388}, {'value': 35, 'element': 390}, {'value': 28, 'element': 389}, {'value': 24, 'element': 386}, {'value': 23, 'element': 391}, {'value': 22, 'element': 383}, {'value': 18, 'element': 542}, {'value': 13, 'element': 396}, {'value': 7, 'element': 385}, {'value': 4, 'element': 395}, {'value': 4, 'element': 400}, {'value': 4, 'element': 584}, {'value': 2, 'element': 392}]}]",2020/21,Spurs,1190,1130,1250,Arsenal,1250,1150,1210,H
6,2128592,31,True,305,True,15,0.0,3,1,3.0,2,"[{'identifier': 'goals_scored', 'a': [{'value': 2, 'element': 6}, {'value': 1, 'element': 26}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 18}, {'value': 1, 'element': 501}, {'value': 1, 'element': 567}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 10}], 'h': [{'value': 1, 'element': 509}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 8}], 'h': [{'value': 2, 'element': 483}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 6}, {'value': 2, 'element': 16}, {'value': 1, 'element': 501}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 59, 'element': 6}, {'value': 29, 'element': 16}, {'value': 27, 'element': 501}, {'value': 25, 'element': 13}, {'value': 25, 'element': 567}, {'value': 24, 'element': 10}, {'value': 23, 'element': 8}, {'value': 21, 'element': 26}, {'value': 18, 'element': 18}, {'value': 14, 'element': 9}, {'value': 10, 'element': 24}, {'value': 3, 'element': 478}, {'value': 3, 'element': 526}, {'value': 2, 'element': 22}], 'h': [{'value': 15, 'element': 349}, {'value': 14, 'element': 351}, {'value': 14, 'element': 353}, {'value': 13, 'element': 483}, {'value': 11, 'element': 346}, {'value': 11, 'element': 509}, {'value': 10, 'element': 355}, {'value': 8, 'element': 347}, {'value': 8, 'element': 356}, {'value': 8, 'element': 424}, {'value': 4, 'element': 357}, {'value': 3, 'element': 262}, {'value': 3, 'element': 344}, {'value': 2, 'element': 359}]}]",2020/21,Sheffield Utd,1000,1020,1000,Arsenal,1250,1150,1210,A
7,2128436,16,True,149,True,3,0.0,3,1,1.0,3,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 6}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 24}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 62}, {'value': 1, 'element': 71}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 8}], 'h': [{'value': 2, 'element': 597}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 16}, {'value': 2, 'element': 6}, {'value': 1, 'element': 10}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 31, 'element': 16}, {'value': 30, 'element': 6}, {'value': 29, 'element': 10}, {'value': 28, 'element': 24}, {'value': 26, 'element': 8}, {'value': 26, 'element': 11}, {'value': 23, 'element': 17}, {'value': 16, 'element': 9}, {'value': 13, 'element': 23}, {'value': 11, 'element': 526}, {'value': 5, 'element': 26}, {'value': 2, 'element': 501}], 'h': [{'value': 20, 'element': 76}, {'value': 17, 'element': 67}, {'value': 15, 'element': 66}, {'value': 14, 'element': 57}, {'value': 14, 'element': 75}, {'value': 13, 'element': 62}, {'value': 13, 'element': 597}, {'value': 8, 'element': 61}, {'value': 8, 'element': 65}, {'value': 7, 'element': 59}, {'value': 4, 'element': 80}, {'value': 3, 'element': 68}, {'value': 3, 'element': 69}, {'value': 3, 'element': 71}]}]",2020/21,Brighton,1130,1150,1100,Arsenal,1250,1150,1210,A
8,2128420,14,True,133,True,7,2.0,3,1,1.0,3,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 18}], 'h': [{'value': 1, 'element': 162}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 15}], 'h': [{'value': 1, 'element': 150}, {'value': 1, 'element': 164}]}, {'identifier': 'own_goals', 'a': [{'value': 1, 'element': 16}], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 17}, {'value': 1, 'element': 20}, {'value': 1, 'element': 526}], 'h': [{'value': 1, 'element': 164}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 8}], 'h': [{'value': 1, 'element': 157}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 15}, {'value': 1, 'element': 18}], 'h': [{'value': 3, 'element': 162}, {'value': 2, 'element': 150}]}, {'identifier': 'bps', 'a': [{'value': 26, 'element': 15}, {'value': 26, 'element': 18}, {'value': 14, 'element': 3}, {'value': 14, 'element': 17}, {'value': 14, 'element': 501}, {'value': 12, 'element': 478}, {'value': 12, 'element': 526}, {'value': 10, 'element': 8}, {'value': 9, 'element': 24}, {'value': 6, 'element': 6}, {'value': 5, 'element': 16}, {'value': 3, 'element': 22}, {'value': 2, 'element': 26}, {'value': -3, 'element': 20}], 'h': [{'value': 29, 'element': 162}, {'value': 27, 'element': 150}, {'value': 17, 'element': 566}, {'value': 14, 'element': 165}, {'value': 12, 'element': 156}, {'value': 12, 'element': 512}, {'value': 11, 'element': 159}, {'value': 9, 'element': 157}, {'value': 8, 'element': 164}, {'value': 4, 'element': 166}, {'value': 3, 'element': 152}, {'value': 3, 'element': 153}, {'value': 3, 'element': 160}, {'value': 3, 'element': 163}]}]",2020/21,Everton,1250,1130,1200,Arsenal,1250,1150,1210,H
9,2128369,9,True,82,True,10,0.0,3,1,0.0,3,"[{'identifier': 'goals_scored', 'a': [], 'h': []}, {'identifier': 'assists', 'a': [], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 195}, {'value': 1, 'element': 200}, {'value': 1, 'element': 204}]}, {'identifier': 'red_cards', 'a': [{'value': 1, 'element': 18}], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 8}], 'h': [{'value': 2, 'element': 213}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 8}, {'value': 3, 'element': 11}], 'h': [{'value': 3, 'element': 201}]}, {'identifier': 'bps', 'a': [{'value': 29, 'element': 8}, {'value': 29, 'element': 11}, {'value': 27, 'element': 17}, {'value': 22, 'element': 494}, {'value': 21, 'element': 16}, {'value': 12, 'element': 501}, {'value': 10, 'element': 9}, {'value': 4, 'element': 4}, {'value': 4, 'element': 24}, {'value': 4, 'element': 478}, {'value': 3, 'element': 15}, {'value': 1, 'element': 20}, {'value': 1, 'element': 21}, {'value': -8, 'element': 18}], 'h': [{'value': 29, 'element': 201}, {'value': 28, 'element': 491}, {'value': 23, 'element': 195}, {'value': 23, 'element': 200}, {'value': 23, 'element': 213}, {'value': 22, 'element': 197}, {'value': 14, 'element': 203}, {'value': 10, 'element': 198}, {'value': 10, 'element': 570}, {'value': 8, 'element': 204}, {'value': 7, 'element': 209}, {'value': 3, 'element': 492}, {'value': -1, 'element': 202}]}]",2020/21,Leeds,1160,1060,1210,Arsenal,1250,1150,1210,D
